40000
0 1
1 76500 76501
2 59544 59545
3 62736 62737
4 79410 79411
5 14668 14669
6 49036 49037
7 50650 50651
8 67518 67519
9 77158 77159
10 6202 6203
11 19090 19091
12 18416 18417
13 79882 79883
14 71756 71757
15 74578 74579
16 44158 44159
17 50088 50089
18 66098 66099
19 67700 67701
20 74814 74815
21 45740 45741
22 21114 21115
23 42052 42053
24 54036 54037
25 49312 49313
26 76798 76799
27 24312 24313
28 75724 75725
29 44604 44605
30 34270 34271
31 41712 41713
32 20210 20211
33 1104 1105
34 41368 41369
35 73190 73191
36 11738 11739
37 63198 63199
38 45786 45787
39 71474 71475
40 70928 70929
41 34926 34927
42 69760 69761
43 47708 47709
44 67874 67875
45 59798 59799
46 63026 63027
47 56674 56675
48 54588 54589
49 13438 13439
50 17000 17001
51 50964 50965
52 38406 38407
53 79314 79315
54 40040 40041
55 40514 40515
56 6332 6333
57 49438 49439
58 8952 8953
59 77692 77693
60 65636 65637
61 46474 46475
62 27106 27107
63 70628 70629
64 56162 56163
65 70472 70473
66 23654 23655
67 31998 31999
68 60376 60377
69 13214 13215
70 70084 70085
71 9260 9261
72 67244 67245
73 76624 76625
74 36774 36775
75 49934 49935
76 16658 16659
77 74544 74545
78 16010 16011
79 76836 76837
80 61786 61787
81 28504 28505
82 76960 76961
83 59834 59835
84 63376 63377
85 4440 4441
86 43264 43265
87 69682 69683
88 73490 73491
89 74910 74911
90 48218 48219
91 48994 48995
92 6498 6499
93 79606 79607
94 67020 67021
95 72974 72975
96 78174 78175
97 59624 59625
98 52564 52565
99 77762 77763
100 63978 63979
101 5828 5829
102 58432 58433
103 17300 17301
104 68526 68527
105 49830 49831
106 78080 78081
107 74086 74087
108 45048 45049
109 6252 6253
110 68520 68521
111 53944 53945
112 53168 53169
113 39492 39493
114 24650 24651
115 46796 46797
116 75478 75479
117 23222 23223
118 42474 42475
119 63670 63671
120 13104 13105
121 13378 13379
122 4784 4785
123 50586 50587
124 16986 16987
125 66716 66717
126 57704 57705
127 76102 76103
128 60266 60267
129 74352 74353
130 69672 69673
131 46920 46921
132 15346 15347
133 61468 61469
134 25760 25761
135 73216 73217
136 5390 5391
137 26426 26427
138 76176 76177
139 37660 37661
140 43788 43789
141 75588 75589
142 49466 49467
143 58666 58667
144 51212 51213
145 51020 51021
146 75618 75619
147 75154 75155
148 25202 25203
149 56548 56549
150 68952 68953
151 78620 78621
152 24686 24687
153 76208 76209
154 1778 1779
155 73378 73379
156 10184 10185
157 46212 46213
158 71748 71749
159 7780 7781
160 77198 77199
161 74102 74103
162 78514 78515
163 44706 44707
164 5120 5121
165 864 865
166 72982 72983
167 31892 31893
168 66796 66797
169 39098 39099
170 23206 23207
171 12146 12147
172 30408 30409
173 74066 74067
174 48730 48731
175 60346 60347
176 51764 51765
177 23664 23665
178 57820 57821
179 40696 40697
180 62918 62919
181 53450 53451
182 70698 70699
183 29050 29051
184 57640 57641
185 68670 68671
186 57932 57933
187 26746 26747
188 33768 33769
189 72842 72843
190 59240 59241
191 62096 62097
192 2822 2823
193 58314 58315
194 69936 69937
195 65924 65925
196 11074 11075
197 75412 75413
198 34488 34489
199 13714 13715
200 69724 69725
201 46992 46993
202 58676 58677
203 7342 7343
204 3884 3885
205 48734 48735
206 58024 58025
207 616 617
208 54876 54877
209 2740 2741
210 4268 4269
211 41490 41491
212 41570 41571
213 8420 8421
214 73716 73717
215 41436 41437
216 42296 42297
217 34078 34079
218 948 949
219 22354 22355
220 4124 4125
221 77262 77263
222 44316 44317
223 57394 57395
224 78606 78607
225 33328 33329
226 60612 60613
227 57882 57883
228 63186 63187
229 40226 40227
230 67060 67061
231 79628 79629
232 13480 13481
233 79368 79369
234 59460 59461
235 1862 1863
236 42376 42377
237 64146 64147
238 72906 72907
239 35880 35881
240 53644 53645
241 76188 76189
242 74498 74499
243 60006 60007
244 65300 65301
245 2544 2545
246 63556 63557
247 74454 74455
248 70822 70823
249 33056 33057
250 45286 45287
251 49550 49551
252 74456 74457
253 78664 78665
254 54774 54775
255 39410 39411
256 33028 33029
257 66870 66871
258 59998 59999
259 11942 11943
260 70134 70135
261 3842 3843
262 46142 46143
263 72784 72785
264 14472 14473
265 74972 74973
266 59314 59315
267 31394 31395
268 51192 51193
269 76556 76557
270 17824 17825
271 60288 60289
272 68938 68939
273 76056 76057
274 9816 9817
275 34286 34287
276 79830 79831
277 64674 64675
278 72070 72071
279 57464 57465
280 47022 47023
281 55794 55795
282 36560 36561
283 61546 61547
284 60342 60343
285 71306 71307
286 19318 19319
287 63352 63353
288 63208 63209
289 65820 65821
290 57524 57525
291 42518 42519
292 67442 67443
293 58820 58821
294 56792 56793
295 49430 49431
296 42086 42087
297 17788 17789
298 34966 34967
299 37732 37733
300 48292 48293
301 77730 77731
302 57594 57595
303 63046 63047
304 70186 70187
305 66720 66721
306 70420 70421
307 27808 27809
308 57130 57131
309 49022 49023
310 40214 40215
311 60810 60811
312 34090 34091
313 73576 73577
314 78074 78075
315 69896 69897
316 73210 73211
317 18414 18415
318 21280 21281
319 32780 32781
320 75322 75323
321 51314 51315
322 63764 63765
323 35562 35563
324 62986 62987
325 71872 71873
326 48210 48211
327 3344 3345
328 68532 68533
329 75718 75719
330 4434 4435
331 74068 74069
332 7132 7133
333 33416 33417
334 69336 69337
335 41940 41941
336 76114 76115
337 62080 62081
338 40702 40703
339 70758 70759
340 66252 66253
341 23428 23429
342 26726 26727
343 78976 78977
344 166 167
345 11484 11485
346 16424 16425
347 30006 30007
348 59896 59897
349 27898 27899
350 21472 21473
351 70076 70077
352 64362 64363
353 17804 17805
354 38050 38051
355 35586 35587
356 45874 45875
357 64790 64791
358 58496 58497
359 75552 75553
360 75750 75751
361 69570 69571
362 70878 70879
363 72836 72837
364 68910 68911
365 40168 40169
366 17042 17043
367 70578 70579
368 54290 54291
369 30536 30537
370 70108 70109
371 3722 3723
372 10506 10507
373 33958 33959
374 70536 70537
375 51016 51017
376 28368 28369
377 77298 77299
378 19108 19109
379 26278 26279
380 53434 53435
381 77412 77413
382 76858 76859
383 65716 65717
384 55592 55593
385 53386 53387
386 14114 14115
387 61170 61171
388 59178 59179
389 16794 16795
390 42010 42011
391 30842 30843
392 57300 57301
393 59346 59347
394 73714 73715
395 73638 73639
396 38730 38731
397 17452 17453
398 50164 50165
399 23662 23663
400 46654 46655
401 68742 68743
402 69522 69523
403 68236 68237
404 5006 5007
405 64956 64957
406 51340 51341
407 23490 23491
408 71680 71681
409 62072 62073
410 78358 78359
411 24250 24251
412 75490 75491
413 4682 4683
414 78666 78667
415 54316 54317
416 79774 79775
417 76526 76527
418 20186 20187
419 41290 41291
420 58010 58011
421 73770 73771
422 48766 48767
423 72314 72315
424 72422 72423
425 51194 51195
426 61544 61545
427 3224 3225
428 63450 63451
429 24712 24713
430 4028 4029
431 62930 62931
432 23756 23757
433 4242 4243
434 40550 40551
435 26254 26255
436 24668 24669
437 61036 61037
438 30708 30709
439 59918 59919
440 63364 63365
441 26442 26443
442 78114 78115
443 75052 75053
444 73496 73497
445 73414 73415
446 19196 19197
447 45342 45343
448 72944 72945
449 14088 14089
450 3794 3795
451 58364 58365
452 30820 30821
453 57248 57249
454 72282 72283
455 12176 12177
456 77888 77889
457 32072 32073
458 62714 62715
459 35746 35747
460 46258 46259
461 61358 61359
462 50402 50403
463 28146 28147
464 70824 70825
465 68294 68295
466 20102 20103
467 33754 33755
468 46330 46331
469 69422 69423
470 61378 61379
471 58436 58437
472 76504 76505
473 25880 25881
474 75460 75461
475 25526 25527
476 56628 56629
477 64190 64191
478 62866 62867
479 76772 76773
480 68046 68047
481 65370 65371
482 49034 49035
483 30682 30683
484 78018 78019
485 40146 40147
486 40380 40381
